abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
socially-constructed-person;['पराचिकित्सा सेवा', 'paramedics', 'नर्स', 'पराचिकित्सा', 'पैरामेडिकल'];हेल्थकेयर पेशेवर जो आपातकालीन चिकित्सा स्थितियों में काम करता है
socially-constructed-person;['अंतरिक्ष यात्री', 'खगोलयात्री', 'अंतरिक्षयात्री', 'खगोलबाज़', 'अन्तरिक्ष यात्री'];ऐसा व्यक्ति जो पृथ्वी के वायुमंडल से बाहर जाकर अंतरिक्ष में प्रवेश करे।
socially-constructed-person;['anti-intellectualism', 'विरोधी बौद्धिक', 'तंग ललाट का', 'विरोधी बौद्धिकता'];Anti-intellectualism
socially-constructed-person;['किसान', 'कृषक', 'sodbuster', 'किसानों', 'कृषकों', 'खेतिहर', 'ग्रेंजर'];खेती करने वाले लोग
socially-constructed-person;['यीशु', 'यीशु मसीह', 'ईसा मसीह', 'जीजस क्राइस्ट', 'जीसस क्राइस्ट', 'ईसा', 'जीज़स क्राइस्ट', 'परमपिता परमेश्वर का पुत्र', 'येशुआ', 'यीशू', 'गुड शेफर्ड', 'नासरत का यीशु', 'नासरी', 'मसीह'];ईसाई धर्म प्रवर्तक
socially-constructed-person;['सिसरो', 'टुली', 'माक्र्स tullius cicero'];रोमन दार्शनिक
socially-constructed-person;['लेव तोलस्तोय', 'टॉलस्टॉय', 'टाॅल्सटाॅय', 'लियो टाॅलस्टाॅय', 'टाल्सटाय', 'लिओ टाल्सटाय', 'लिओ टॉलस्टॉय', 'लिओ टॉल्सटॉय', 'लियो टॉलस्टॉय', 'गणना लेव nikolayevitch टॉल्स्टॉय', 'लियो टॉलस्टाय'];रूसी साहित्यकार
socially-constructed-person;['भौतिक विज्ञानी', 'भौतिकविज्ञानी', 'भौतिक शास्त्री', 'भौतिकविदों'];वो वैज्ञानिक कहलाते हैं जो अपना शोध कार्य भौतिक विज्ञान के क्षेत्र में करते हैं
socially-constructed-person;['कंप्यूटर वैज्ञानिक'];कंप्यूटर विज्ञान में विशेषज्ञता प्राप्त वैज्ञानिक
socially-constructed-person;['जीवविज्ञानी', 'जीव विज्ञानी', 'जीव', 'जीवन वैज्ञानिक'];वैज्ञानिक जो जीवों का अध्ययन करते हैं
socially-constructed-person;['लोहार', 'लुहार', 'blacksmithing', 'लोहार की दुकान'];Black smith
socially-constructed-person;['मानव विज्ञानी', 'मानव-विज्ञानी', 'मानवविज्ञानी'];मानव विज्ञान के व्यापक ज्ञान के साथ व्यक्ति
socially-constructed-person;['धनी व्यवसायी', 'टाइकून', 'थैलीशाह', 'magnates', 'उद्योगपति', 'उद्योगपतियों', 'बड़े व्यापारी', 'लकड़ी व्यापारी', 'व्यापार के नेता', 'व्यापार थैलीशाह', 'शिपिंग रईस', 'शीर्ष कार्यकारी'];एक व्यवसायी जो काम से बहुत धनी हो गया
socially-constructed-person;['दुल्हन', 'दुलहन', 'नववधू', 'नवोढा', 'वधू'];वह स्त्री जिसकी शादी होने वाली हो या जो किसी पुरुष या महिला के साथ नवविवाहित हो
socially-constructed-person;['थॉमस अल्वा एडीसन', 'थॉमस ऐल्वा एडीसन', 'थॉमस अल्वा एडिसन', 'थॉमस एड़िसन', 'एडिसन', 'थॉमस एडीसन', 'टामस ऐल्वा एडिसन', 'थामस एडिसन', 'थॉमस एडिसन', 'थॉमस ऐल्वा ऐडिसन'];अमरीकन वैज्ञानिक
socially-constructed-person;['अर्नेस्ट हेमिंग्वे', 'ernest hemingway', 'हेमिंग्वे'];नोबेल विजेता अमेरिकी कथाकार
socially-constructed-person;['अरिस्तोफनेस', 'एरिस्टोफ़नीज'];प्राचीन यूनानी नाटककार
socially-constructed-person;['व्याख्याता', 'चित्रकार', 'illustrator', 'illustrators', 'तकनीकी illustrator'];कथा कलाकार जो मुद्रित और इलेक्ट्रॉनिक उत्पादों के लिए चित्र बनाता है
socially-constructed-person;['एसोसिएशन फुटबॉल खिलाड़ी', 'फुटबॉल खिलाड़ी', 'फ़ुटबाल खेलनेवाला', 'फुटबॉलर'];व्यक्ति जो एसोसिएशन फुटबॉल खेलता है
socially-constructed-person;['जगन्नाथ', 'jagganath'];जगन्नाथ हिन्दू भगवान विष्णु के पूर्ण कला अवतार श्रीकृष्ण का ही एक रूप हैं। इनका एक बहुत बड़ा मन्दिर ओडिशा राज्य के पुरी शहर में स्थित है। इस शहर का नाम जगन्नाथ पुरी से निकल कर पुरी बना है। यहाँ वार्षिक रूप से रथ यात्रा उत्सव भी आयोजित किया जाता है। प
socially-constructed-person;['अतिविशिष्ट व्यक्ति', 'काफी ज़ज़ूरी व्यक्ति', 'वीआईपी', 'v.i.p', 'अति महत्वपूर्ण व्यक्ति', 'आडंबरी अधिकारी', 'उच्च muckamuck', 'उच्चपदधारी', 'बहुत महत्वपूर्ण व्यक्ति', 'महत्त्वपूर्ण पद पर होनेवाला'];व्यक्ति जिसके पास सौभग्य हो उसके दर्जा के कारन
socially-constructed-person;['परशुराम', 'parashurama', 'परशुराम अवतार'];सबसे बड़े शिवभक्त
socially-constructed-person;['रा', 'râ'];रा. पा. 2009
socially-constructed-person;['नौसिखिया', 'नूब', 'newbies'];एक नवागंतुक के लिए कठबोली शब्द
socially-constructed-person;['राम', 'rama', 'भगवान राम', 'रामचंद्र', 'रामचन्द्र', 'श्री रामचंद्र', 'श्री रामचन्द्र जी', 'श्रीराम', 'पुराराम जांणी', 'श्री राम', 'रमा'];राम त्रेता युग के दशरथ के पुत्र हैं यह हिंदू संस्कृति के मूल पुरुष है/ भगवान विष्णु जी का अवतार
socially-constructed-person;['इन्द्र', 'indra', 'इंद्र', 'इंद्रा'];वेदकालकी पराक्रमी हिंदू देवता
socially-constructed-person;['दलाई लामा', 'दलाईलामा', 'dalaï lama', 'ग्रांड लामा'];तिब्बती बौद्ध आध्यात्मिक शिक्षक
socially-constructed-person;['7853 confucius'];क्षुद्रग्रह
socially-constructed-person;['जॉन मेनार्ड कीन्स', 'जॉन मेनार्ड केनेज', 'जोन मेनार्ड केन्स', 'कीन्स'];अर्थशास्त्र के लेखक , अर्थशास्त्रज्ञ
socially-constructed-person;['गौतम बुद्ध', 'बुद्ध', 'बुद्ध अवतार', 'भगवान् बुद्ध', 'भगवान्\u200c बुद्ध', 'महर्षि बुद्ध', 'महात्मा बुद्ध', 'सिद्धार्थ गौतम', 'गौतम', 'गौतम सिद्धार्थ', 'सिद्धार्थ'];बौद्ध धर्म के संस्थापक एवं प्रवर्तक
socially-constructed-person;['गणेश', 'गणपति', 'एकदन्त', 'गजानन', 'अखूरथ', 'अनन्तचिदरुपम', 'अमित', 'अलम्पता', 'अवनीश', 'अविघ्न', 'ईशानपुत्र', 'एकदंष्ट्र', 'एकाक्षर', 'कपिल', 'कवीश', 'गजकर्ण', 'गजवक्र', 'गणाध्यक्ष', 'गणाध्यक्षिण', 'गुणिन', 'गौरीसुत', 'चतुर्भुज', 'दूर्जा', 'देवव्रत', 'देवांतकनाशकारी', 'देवेन्द्राशिक', 'द्वैमातुर', 'धूम्रवर्ण', 'निदीश्वरम', 'प्रथमेश्वर', 'बालगणपति', 'बुद्धिनाथ', 'बुद्धिप्रिय', 'बुद्धिविधाता', 'भालचन्द्र', 'भुवनपति', 'भूपति', 'मंगलमूर्त्ति', 'महागणपति', 'महाबल', 'मूषकवाहन', 'लम्बकर्ण', 'लम्बोदर', 'वक्रतुण्ड', 'विघ्नराज', 'विघ्नेश्वर', 'विनायक', 'विश्वमुख', 'शुभम', 'शूपकर्ण', 'सिद्दिविनायक', 'सिद्धिदाता', 'सुरेश्वरम', 'हरिद्र', 'हेरम्ब', 'श्री गणेशजी'];हिन्दू देवता
socially-constructed-person;['लक्ष्मी', 'देवी लक्ष्मी', 'महालक्ष्मी', 'श्री लक्ष्मी'];लक्ष्मी हिन्दू धर्म की एक प्रमुख देवी हैं।
socially-constructed-person;['सरस्वती देवी', 'सरस्वती', 'sarasvati', 'शारदा', 'सरस्वति देवी'];कला, संगीत और ज्ञान की हिंदू देवी
socially-constructed-person;['foxfighting', 'लोमड़ी के शिकार', 'foxhunt', 'foxhunting', 'लोमड़ी शिकार'];Foxfighting
socially-constructed-person;['अन्यजातियों', 'goy', 'goyim', 'ईसाई औऱ यहूदी', 'गैर यहूदियों के', 'गैर यहूदी'];बहुविकल्पी पृष्ठ
socially-constructed-person;['जेम्स सप्तम एवं द्वितीय', 'जेम्स द्वितीय'];इंग्लैंड, स्कॉटलैंड तथा इंग्लैंड के राजा
socially-constructed-person;['सेल्युकस प्रथम निकेटर', 'सेल्यूकस', 'सेल्यूकस मैं', 'सेल्यूकस मैं nicator'];सिकंदर का सेनापति
socially-constructed-person;['घड़ीसाज़', 'watchmaking', 'घड़ीसाज'];घड़ी बनाने और मरम्मत करने वाला कारीगर
socially-constructed-person;['चंगेज़ ख़ान', 'चंगेज खान', 'चंग़ेज़ ख़ान', 'चंगेख खाँ', 'चंगेज ख़ान', 'चंगेज खाँ', 'चंगेज खां', 'चंगेज़ खान', 'चगेज खाँ', 'चिंगेंज़ खाँ', 'jenghiz खान', 'jinghis खान', 'temujin'];जीवन के वृतांत
socially-constructed-person;['अरस्तु', 'अरिस्टोटल', 'अरस्तू', 'आरस्तु'];एक महान यूनानी दार्शनिक
socially-constructed-person;['अल्बर्ट आइंस्टीन', 'आइनस्टाइन', 'albert einstein', 'einstein', 'अलबर्ट आइंस्टाइन', 'अलबर्ट आइंस्टाईन', 'अल्बर्ट आइंसटीन', 'अल्बर्ट आइंस्टाइन', 'अल्बर्ट आइनस्टाइन', 'अल्बर्ट आइन्सटाइन', 'अल्बर्ट आइन्स्टाइन', 'अल्बर्ट आइन्स्टीन', 'आइंस्टाइन', 'आइंस्टीन', 'आइन्सटाइन', 'आइन्स्टीन', 'आईंसटीन', 'ऐल्बर्ट आइनस्टाइन', 'ऐल्बर्ट आइनस्टाइन\u200b', 'आइंस्टीन के'];एक जर्मन वैज्ञानिक, सामान्य आपेक्षिकता के ज्ञाता।
socially-constructed-person;['व्लादिमीर लेनिन', 'लेनिन', 'व्लाडिमिर लेनिन', 'निकोलाई लेनिन', 'व्लादिमीर ilich ulyanov', 'व्लादिमीर ilich लेनिन', 'व्लादिमीर इलिच ulyanov', 'व्लादिमीर इलिच लेनिन'];एक रूसी साम्यवादी क्रान्तिकारी, राजनीतिज्ञ तथा राजनीतिक सिद्धांतकार थे
socially-constructed-person;['फ़्योदोर दोस्तोयेव्स्की', 'दस्तायेवस्की', 'दोस्तोवस्की', 'दोस्तोयेव्स्की', 'फियोदोर दोस्तोवस्की', 'फ्योदोर दोस्तोएव्स्की', 'dostoevski', 'dostoevsky', 'dostoyevsky', 'फ़ेयोडोर dostoevski', 'फ़ेयोडोर dostoevsky', 'फ़ेयोडोर dostoyevsky', 'फ़ेयोडोर mikhailovich dostoevski', 'फ़ेयोडोर mikhailovich dostoevsky', 'फ़ेयोडोर mikhailovich dostoyevsky', 'फ्योदोर dostoevski', 'फ्योदोर dostoevsky', 'फ्योदोर dostoyevsky', 'फ्योदोर mikhailovich dostoevski', 'फ्योदोर mikhailovich dostoevsky', 'फ्योदोर mikhailovich dostoyevsky'];रूसी साहित्यकार
socially-constructed-person;['जोसेफ़ स्टालिन', 'जोसेफ स्टालिन', 'जोसेफ स्टॅलिन', 'स्टालिन', 'स्टॅलिन', 'जोसफ स्टालिन', 'जोसफ स्टॅलिन', 'जोसेफ़ स्टॅलिन', 'जोसफ स्तालिन', 'जोसेफ स्तालिन', 'जोसेफ़ स्टैलिन', 'जोसेफ़ स्तालिन', 'स्तालिन', 'iosif vissarionovich dzhugashvili', 'जोसफ स्टेलिन'];सोवियत संघ की कम्युनिस्ट पार्टी के महासचिव
socially-constructed-person;['लेखाकार', 'नियंत्रक', 'एकाउंटेंट', 'मुनीम', 'सार्वजनिक लेखा'];एकाउंटेंसी का पेशा
socially-constructed-person;['wright'];उपनाम (Wright)
socially-constructed-person;['सीरियल किलर', 'सिलसिलेवार क़ातिल', 'धारावाहिक कातिल', 'धारावाहिक हत्या', 'धारावाहिक हत्यारों'];एक सिलसिलेवार क़ातिल आम तौर पर वो शख़्स होता है जो कि असामान्य मनोवैज्ञानिक संतुष्टि की सेवा में, तीन या तीन से ज़्यादा लोगों को क़त्ल करता है
socially-constructed-person;['गे', 'समलैंगिक पुस्र्ष', 'समलैंगिक', 'homophile', 'homophile आंदोलन'];समलैंगिक व्यक्ति, विशेष रूप से एक पुस्र्ष
socially-constructed-person;['कल्कि', 'kalkî', 'कल्कि अवतार'];भगवान विष्णुजी का एक अवतार
socially-constructed-person;['हिरोडोटस', 'हीरोडोटस', 'हेरोडोटस', 'हेरोडोटस\u200b', 'हेरोदोतस'];हेरोडोटस को इतिहास का पिता कहा जाता है। उसे इतिहास का पिता रोमन दार्शनिक सिसरो ने कहा।
socially-constructed-person;['मैत्रेय बुद्ध', 'मैत्रेय'];भावी बोधिसत्व
socially-constructed-person;['मुख्य कार्यकारी अधिकारी', 'ceo', 'managing director', 'प्रबंध निदेशक', 'मुख्य परिचालन अधिकारी', 'मुख्य संचालन अधिकारी', 'सीईओ'];एक कंपनी के सबसे अव्वल प्रबंधक, जो कंपनी के सारे ज़रूरी निर्णय और योजनाए बनाते हैं
socially-constructed-person;['शक्ति', 'sakti'];बहुविकल्पी पृष्ठ
socially-constructed-person;['नील आर्मस्ट्रांग', 'neil armstrong', 'नील अल्डेन आर्मस्ट्रॉंग'];अंतरिक्ष यात्री. चन्द्रमा
socially-constructed-person;['गोलकीपर', 'गौलकीपर', 'गोल रक्षक', 'गोली', 'गोलरक्षक', 'goaltender', 'netminder'];खेल की स्थिति अपने स्वयं के लक्ष्य की रक्षा में निभाइ
socially-constructed-person;['शेख़', 'शैख़', 'शेख', 'sheiks', 'अरब प्रमुख', 'आदिवासी कुटुम्ब या गाँव का मुखिया', 'आदिवासी शेख़', 'शेखों'];इस्लामी सम्मानजनक उपाधि
socially-constructed-person;['doyen', 'अगुआ'];उपनाम (Doyen)
socially-constructed-person;['विष्णु', 'अमरप्रभु', 'अव्यय', 'केशव', 'क्षेत्रज्ञ', 'गरुड़ध्वज', 'नारसिंहवपुष', 'नारायण', 'निधिरव्यय', 'पद्मनाभ', 'परमात्मा', 'पुरुष', 'पुरुषोत्तम', 'पूतात्मा', 'प्रतर्दन', 'प्रधानपुरुषेश्वर', 'प्रभव', 'प्रभूत', 'भाव', 'भूतकृत', 'भूतभव्यभवत्प्रभु', 'भूतभावन', 'भूतभृत', 'भूतात्मा', 'भूतादि', 'मुक्तानां परमागति', 'योग', 'योगाविदां नेता', 'वषट्कार', 'विश्वकर्मा', 'शर्व', 'श्रीमान्', 'सम्भव', 'सर्व', 'साक्षी', 'स्थविष्ठ', 'हृषीकेशा', 'vishnu', 'भगवान विष्णु', 'भगवान् विष्\u200dणु', 'विष्\u200dणु', 'श्री हरी', 'kaumodaki', 'विष्णू'];वैष्णव त्रिलोकीनाथ
socially-constructed-person;['राजमाता', 'रानी बेवा'];बहुविकल्पी पृष्ठ
socially-constructed-person;['शाह', 'शहजादा', 'shahanshah', 'ईरान के शाह'];सूफ़ी-संतों से लेकर बादशाहों का उपनाम
socially-constructed-person;['1203 nanna'];क्षुद्रग्रह
socially-constructed-person;['पार्वती', 'गौर', 'pārvāti', 'उमा', 'अम्बे', 'गौरी', 'दक्षायनी', 'भगवती', 'शिवमाया'];हिन्दू धर्म मे वर्णित शक्ति का रूप एवं भगवान शिव की पत्नी-- हे पर्वतराज नन्दिनी तेरी जय जय जय, जय जय जय
space-region;['टाइम बॉल', 'टाइम बाॅल', 'समय गेंद', 'कालगेंद'];समय सांकेतिक यंत्र।
space-region;['घन', 'क्यूब', 'ज्यामितिक घन', 'नियमित षट्फलक'];त्रि-आयामी ठोस ऑब्जेक्ट छह वर्ग पक्षों से घिरा हुआ है
space-region;['सतत ट्रैक', 'कमला ट्रैक', 'कमला चलने', 'कमला ट्रैक्टर', 'कमला पटरियों', 'क्रॉलर ट्रेक्टर', 'ट्रेक्टर क्रॉलर', 'ट्रैक्टर क्रॉलर', 'ट्रैक्ड वाहनों', 'निरंतर ट्रैक'];गाड़ियों को बढ़ाने की विधी
space-region;['तोरोइड', 'टोरोइड', 'toroid'];रिंग-आकार आभूषण
space-region;['उत्तरी ध्रुव', '90 अक्षांश उत्तर'];पृथ्वी का सबसे उत्तर में स्थित भाग
space-region;['शिरोबिंदु', 'सिम्त', 'शीर्षबिंदु', 'शीर्षबिंदु कोण'];स्थान के ठीक 'ऊपर' खगोलीय गोले पर स्थित काल्पनिक बिंदु को
spatial-feature;['तंग घाटी', 'तंग घाटियाँ', 'कैनियन', 'तंग घाटियों', 'घाटी', 'घाटियों'];दो चट्टानों के बीच का गहरा नाला
spatial-feature;['माउंट रशमोर', 'रशमोर'];दक्षिणी डकोटा में स्थित पर्वत जो चार अमेरिकी राष्ट्रपतियों की कलाकृति को दर्शाता है
spatial-feature;['एवरेस्ट पर्वत', 'माउंट एवरेस्ट', 'एवरेस्ट', 'सगरमाथा', 'देवगिरी', 'माउण्ट एवरेस्ट', 'माऊंट ऍवरेस्ट', 'सागरमाथा', 'एवेरेस्ट'];पृथ्वी का सबसे ऊंचा पर्वत, समुद्र स्तर से 8,848 मीटर की चोटी के साथ, नेपाल और चीन के बीच हिमालय ।
spatial-feature;['अन्नपूर्णा पुंजक', 'अन्नपूर्ना १', 'annapūrna', 'अन्नपूर्णा १', 'अन्नपूर्णा १ मुख्य', 'अन्नपूर्णा ३'];हिमालय का पर्वत
spatial-feature;['नन्दा देवी पर्वत', 'nanda devi', 'नंदा देवी पर्वत', 'नंदा देवी शिखर', 'नंदा देवी'];भारत की दूसरी एवं विश्व की २३वीं सर्वोच्च चोटी
spatial-feature;['शिशापांगमा', 'शीशापनगम', 'shishāpāngmā', 'gosainthan'];चीन में पहाड़
spatial-feature;['हिमालय', 'हिमालय पर्वत', 'himalayas', 'हिमालय क्षेत्र', 'हिमालय पर्वत शृंखला', 'हिमालय पर्वतमाला'];मध्य एशिया की पर्वत माला
spatial-feature;['कंचनजंघा', 'कांचनजंगा', 'कंचनजंगा', 'कञ्चञ्जङ्गा', 'कंचंजंगा', 'कंजनजंगा', 'कनचनजंघा', 'kanchanjanga', 'kinchinjunga', 'माउंट कंचनजंगा'];नेपाल व भारत में स्थित विश्व में तीसरी सबसे ऊँचा पर्वत
spatial-feature;['प्रवाल शैल-श्रेणी', 'मूंगा चट्टान', 'कोरल रीफ', 'प्रवाल भित्ति', 'प्रवाल - शैलमाला', 'प्रवाल भित्तियों', 'प्रवाल भित्तियों के गठन', 'मूँगे की चट्टान'];भारत में प्रवाल की रचना खंभात की खाड़ी में मिलती है
spatial-feature;['रेती', 'sandbars', 'shoals', 'छिछला हो जाना', 'बाधा समुद्र तट', 'बार', 'रेत बैंक'];चोटी की तरह तटीय या समुद्री स्थालाकृति।
spatial-feature;['हिमनद', 'हिमानी', 'ग्लेशियर', 'हिमनदी', 'हिमानियाँ', 'हिमानियों', 'ग्लेशियरों', 'हिमनदों के बर्फ', 'हिमनदों गर्त'];पृथ्वी की सतह पर गतिशील विशाल आकार के बर्फराशि
spatial-feature;['एनैक क्राकाटाओ', 'क्राकाटोआ', 'krakatao', 'krakatau', 'krakatoa'];इंडोनेशिया का द्वीप
spatial-feature;['समुद्र तल', 'सागरतह', 'seabed', 'seafloor', 'एक काल्पनिक दुष्ट प्रेतात्मा जिसका समुद्र पर आधिपत्य है', 'डेवी जोन्स के लॉकर', 'समुद्र अधस्थल', 'समुद्र के तल'];समुद्र के नीछे
spatial-feature;['फर्श', 'फ़र्श'];कमरे में चलने के लिए उपयोग होने वाला अंग
spatial-feature;['जलभर', 'जलभरों', 'aquifer', 'aquifers'];धरातल में वह पारगम्य चट्टान जिसमें पानी मौजूद रहता है
state;['अवसाद', 'डिप्रेशन', 'मानसिक अवसाद', 'मानसिक दबाव', 'निराशा', 'हताश है'];एक तरह की मानसिक बीमारी या अशांति।
state;['मनोविक्षिप्ति', 'मनस्ताप', 'psychoses', 'मनोविकृति', 'मानसिक प्रकरण', 'मानसिक विकार', 'मानसिक विकारों', 'मानसिकता'];सचीज़ोफ्रेनिया के बारे में मेरा विचार
state;['मनोविकृति', 'मानसिक बीमारी', 'psychopaths', 'psychopathy', 'sociopaths', 'मनोरोग', 'मनोरोगी', 'मानसिक रोग'];मानसिक विकृति
status;['बहुविवाह', 'बहुविवाही', 'बहुविवाही यूनियनों'];वह विवाह प्रथा जिसमें एक आदमी एक से अधिक औरतों से विवाह करता है, उसे बहुविवाह प्रथा कहा जाता है।
subject;['संज्ञानात्मक मनोविज्ञान', 'संज्ञानात्मक मनोवैज्ञानिक'];paper 1 unit.2
subject;['स्थलाकृति', 'टोपॉग्रफ़ी', 'स्थलाकृति विज्ञान', 'स्थलाकृति वैज्ञानिक', 'स्थलाकृतिक', 'topographer'];ग्रहविज्ञान की एक शाखा
subject;['पुरातत्वशास्त्र', 'पुरातत्त्वशास्त्र', 'पुरातत्व', 'पुराततत्व शास्त्र', 'पूरात्वशास्त्र', 'पुरातत्त्व', 'पुरातत्वविद्', 'पुरातत्विक', 'पुरातात्विक', 'archeologists', 'पुरातत्वविदों'];विज्ञान की एक शाखा
subject;['जीवाश्मविज्ञान', 'जीवाश्म विज्ञान', 'जीवाश्मिकी', 'paleontology', 'fossilology', 'palaeontological', 'palaeontologists', 'palaeontology', 'paleontological', 'paleontologist', 'paleontologists', 'जीवाश्म'];भौमिकी की शाखा
subject;['खगोलीय यांत्रिकी'];खगोलीय शाखा
subject;['रेडियो खगोलशास्त्र', 'रेडियोखगोलिकी', 'रेडियो खगोल विज्ञान', 'radioastronomy'];खगोल शास्त्र की उप शाखा जिसमें रेडियो आवृत्तियों से आकाशीय पिंडों का अध्ययन करते हैं
subject;['प्राणिविज्ञान', 'प्राणी विज्ञान', 'प्राणि विज्ञान', 'जन्तु विज्ञान', 'जन्तुविज्ञान', 'पशु विज्ञान', 'प्राणीविज्ञान', 'प्राणि', 'प्राणीशास्त्र'];प्राणियो से सम्बन्धित विज्ञान
subject;['कृत्रिम बुद्धि', 'कृत्रिम बुद्धिमत्ता', 'आर्टिफिशियल इंटेलिजेंस', 'कृत्रिम intelligences', 'कृत्रिम बुद्धिमान', 'मशीन खुफिया'];मशीनों में कृत्रिम बुद्धिमत्ता
subject;['दांतों की असामान्यताएं', 'orthodontia', 'orthodontic', 'orthodontics', 'orthodontists', 'orthodonture', 'दंत हड्डी रोग', 'विषमदंतविज्ञान'];दांतों में कई तरह की असामान्यता पाई जाती है जो कि किसी भी मनुष्य में देखी जा सकती है और यह असामान्यता जन्म से भी हो सकती है और अनुवांशिक भी! दांतों की कुछ असामान्यताएं निम्न है:-
subject;['वैद्युत अभियान्त्रिकी', 'विद्युत अभियान्त्रिकी', 'विद्युत अभियाँत्रिकी', 'विद्युत इंजीनियरी', 'विद्युतीय अभियान्त्रिकी', 'वैद्युत अभियाँत्रिकी', 'वैद्युत अभियांत्रिकी', 'वैद्युत इंजीनियरी', 'वैद्युत प्रौद्योगिकी', 'इलेक्ट्रिकल इंजीनियरिंग', 'ee', 'electrotechnics', 'electrotechnology', 'इलेक्ट्रिकल और इलेक्ट्रॉनिक्स इंजीनियरिंग', 'बिजली और कंप्यूटर इंजीनियरिंग', 'विद्युत अभियंता', 'विद्युत प्रौद्योगिकी'];अभियांत्रिकी की शाखा जिसमें विद्युत के बारे में अध्यन होता है
subject;['प्लेट विवर्तनिकी', 'विवर्तनिकी', 'प्लेट टेकटोनिक', 'प्लेट टेक्टॉनिक सिद्धांत', 'प्लेट टेक्टॉनिक्स', 'प्लेट विवर्तिनिकी', 'भौगोलिक तख़्ते', 'भौगोलिक तख़्तो', 'भौगोलिक तख़्तों', 'भौगोलिक प्लेट', 'भौगोलिक प्लेटें', 'भौगोलिक प्लेटों', 'geotectonic', 'tectonism', 'प्लेट विवर्तनिक', 'प्लेट विवर्तनिक सिद्धांत', 'प्लेट सीमा', 'प्लेट सीमाओं', 'महाद्वीपीय प्लेट', 'विवर्तनिक', 'विवर्तनिक प्लेटों'];भूविज्ञान की वह शाखा है जिसमें पर्वतन, क्रेटॉनों, भूकम्प, ज्वालामुखी क्षेत्रों आदि के विकास का अध्ययन किया जाता है। विवर्तनिक अध्ययन अनेक दृष्टियों से लाभकारी
subject;['रिउम्याटोलोजी', 'rheumatology', 'आमवाती', 'संधिवातीयशास्त्र'];चिकित्सा विशेषता
subject;['रक्तशास्त्र', 'रुधिर विज्ञान', 'hematologic', 'रक्त रोगों'];हेमटोलॉजिकल का उपयोग रक्त जाँच एंव उसके उपचार में करते है।
subject;['उष्मागतिकी', 'उष्मागतिशास्त्र', 'उष्मगतिकी', 'उष्मागति शास्त्र', 'ऊष्मगतिकी', 'ऊष्मागतिकी', 'ताप गतिकी', 'तापगतिकी', 'थर्मोडाएनामिक्स', 'thermodynamic', 'ऊष्मप्रवैगिकी', 'ऊष्मा'];गर्मी, काम, तापमान और थर्मल या आंतरिक ऊर्जा से संबंधित शाखा
subject;['परमाणु भौतिकी', 'नाभिकीय भौतिकी', 'नभिकीय भौतिकी', 'परमाणु अनुसंधान', 'परमाणु विज्ञान'];भौतिकी की शाखा
subject;['कार्बनिक रसायन', 'जैविक रसायनज्ञ'];रसायन
subject;['वास्तुकला', 'वास्तुशास्त्र', 'वास्तु', 'आर्किटेक्चर', 'वास्तुशिल्प', 'वास्\u200dतु शास्\u200dत्र', 'स्थापत्य', 'स्थापत्य कला', 'स्थापत्य शैली', 'स्थापत्यकला'];वास्तुकला
subject;['संज्ञानात्मक विज्ञान', 'बोध विज्ञान'];मन और इसके प्रक्रियाओं के अंतःविषय वैज्ञानिक का अध्ययन
subject;['गोलीय ज्यामिति', 'गोलाकार ज्यामिति'];गोले की ज्यामिति
subject;['त्रिकोणमिति', 'त्रिकोणमितीय', 'संवारना'];गणित की एक शाखा
subject;['धातुकर्म', 'धातुकर्म इंजीनियरिंग', 'धातुविज्ञान', 'धातु विज्ञान', 'धातु', 'धातुकर्म उद्योग', 'शारीरिक धातु विज्ञान'];धातूओंके भौतिक और रासायनिक गुणधर्मोंका अभ्यास करनेवाली पदार्थविज्ञानकी शाखा
subject;['मनोविज्ञान', 'मानस शास्त्र', 'मनोवैज्ञानिक', 'युनिवर्सिटी ऑफ राजस्थान', 'मानव मनोविज्ञान', 'साइकोलॉजिकल साइंस'];मनोविज्ञान विद्या शाखा की प्रसिद्ध धारणाएं क्या है
subject;['औषध-प्रभाव-विज्ञान', 'औषधशास्त्र', 'फार्माकॉलोजी', 'भेषजगुण विज्ञान', 'फर्माकोलोजी', 'pharmacologic', 'pharmacologically', 'औषध - विवरणी', 'औषधीय', 'औषधीय दवा', 'फार्माकोलॉजी'];फर्माकोलोजी
subject;['तंत्रिका विज्ञान', 'न्यूरोसाइंस', 'तंत्रिकाविज्ञान', 'neurobiological', 'न्यूरो'];gaurav
subject;['समाजशास्त्र', 'समाजशास्त्रीयों', 'समाजशास्त्रियों', 'युनिवर्सिटी ऑफ राजस्थान', 'समाज शास्त्र', 'सामाजिक'];समाज के विभिन्न पहलुओं का क्रमबद्ध अध्ययन
substance-role;['जलोढ़क', 'अलूवियम', 'अलूवियाल मिट्टी', 'अलूवियाल मृदा', 'काँप मिट्टी', 'काँप मृदा', 'कांप मिट्टी', 'कांप मृदा', 'जलोढ मिट्टी', 'जलोढ मृदा', 'जलोढक', 'जलोढ़ मिट्टी', 'जलोढ़ मृदा', 'कछार मिट्टी', 'जलोढ़ जमा', 'जलोढ़', 'जलोढ़ तलछट'];नदियों के जल प्रवाह के कारण प्रवाहित जलोढ़/कांप मिट्टी
